hotel,Rating,totalScore,Asp_0,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Asp_6,Asp_7,Asp_8,Asp_9,Asp_10,Asp_11,Asp_12,Asp_13,Asp_14,Asp_15,Asp_16,Asp_17,Asp_18,Asp_19
Siegel Suites - Tropicana,2.0 , 0.0006599577260039055,0,0,0,0,0,0,0,0,0,0,0,0,0.0006599577260039055,0,0,0,0,0,0,0
Sleep Inn Airport,3.5 , 0.07213497491039791,0.0018927890602244632,0,0,0.0032103338932344644,0.0002809533844065101,0,0.016424287280568346,0,0,0.0023823878913187928,0.008503866304338203,0,0.01286107911340249,0.008335119172789089,0.020015090681259846,0,0.005892243639714717,0.010291866754675178,0.00041076390055332193,0.0008979748538797629
So Paddington,2.0 , 0.04381443350813078,0.002845235909791465,0,0,0,0,0,0.013625273712978107,0,0,0.0006520332022025815,0.0035425563707892267,0,0.017520759390496844,0.0033275398972087435,0.010967352429519801,0,0.0017463352339312055,0.0026585906844159395,0,0
Soho House New York,4.5 , 0.06892184504079117,0.00017832750389572776,0,0,0,0,0,0.020438005184576963,0.00061835552479505,0,0.01585142167441869,0.011359450885487133,0,0.013981642920011599,0,0.011065100346704963,0.00029696519073095235,0,0.00017832750389572776,0,0.007849457974922406
Soldiers Sailors Marines Club,3.5 , 0.03520632953891493,0.0035718646403669297,0,0,0,0,0,0.010295695613831979,0,0,0,0.01585954849835655,0,0.012770989779710938,0,0.007291768993351473,0,0,0,0,0
Sunset Buri Resort,2.0 , 0.02079148330671783,0,0,0,0,0,0,0,0,0,0,0,0,0.015148745998072028,0,0.005642737308645804,0,0,0,0,0
Ten Hill Place; BW Premier Collection,4.5 , 0.09452324914941106,0.009976686885896995,0,0.0004539917548049855,0.0008430210021714746,0.0011402605106000882,0.0008895066882213859,0.033349431249167505,0.0005121963630005167,0,0.009261839786213583,0.009515728750475023,0,0.018804572115830614,0.00783990470590735,0.020623286193087932,0,0.0007620103255434867,0.0022134509474303478,0,0
Texas Station Gambling Hall and Hotel,3.5 , 0.05856418027998274,0.001155490816229651,0,0,0.001101827438753813,0.003339489994710819,0,0.016721151131533614,0,0,0.006513206019651606,0.01328956362269306,0,0.015981006239599766,0.0013109454999717068,0.011433895383005276,0,0.0018131301080319072,0.0005373241253061418,0,0
The Beverley Hotel,3.5 , 0.06610007419554523,0,0,0,0.0008709538665840965,0,0,0.020473817749876437,0,0,0.004159540647340414,0.013077230299654258,0.0013119355532063884,0.02501611771596292,0.002963345491842978,0.018177222040568333,0,0,0,0,0
The Grant Hotel,3.0 , 0.03846038434804008,0.0006106223778445756,0,0,0,0,0,0.025162974659822788,0,0,0,0.007828758139163106,0,0,0,0.01208580858657924,0.0006518770213808459,0,0,0,0
The Rita Suites,3.0 , 0.06556362657594544,0.0034951514752393025,0,0.0030452173059871274,0.0019401330201214667,0.0006207469593427378,0,0.013564326797434903,0,0,0.004964577202150933,0.014858974746799165,0,0.013575347581251786,0.0027170118325354456,0.017421410139549162,0,0.005803469094806785,0,0,0.0023533785992265327
The Royal Guest House,3.0 , 0.032775460029782266,0,0,0,0,0,0,0.008733974973366868,0,0,0,0.01027179207761238,0,0.012056379147378147,0,0.01043851990006342,0,0,0,0,0
The Saint James Hotel; an Ascend Hotel Collection Member,4.5 , 0.10829448812735067,0.00419254605883677,0,0.0019187480384742451,0.004402433904109661,0.003513241388170749,0,0.03297443507583155,0,0,0.0024728818588147577,0.009588060237568268,0.0010098957006969627,0.028880235117082143,0.0127654403621161,0.02415745169778964,0,0.0022623888663979397,0.0026220929690918635,0.000443859095724892,0.0002838076179757682
The Tavern Hotel,5.0 , 0.08634906901369559,0.008219640912831198,0,0.000620557936028392,0,0.002258947225974168,0,0.02500306548331158,0,0,0.015387068920697891,0.013553548274234392,0.0016528020854983123,0.019790626378712494,0.005405566761410574,0.01582475305731265,0,0.0019496755569233509,0.0008049620208987304,0,0
The West Townhouse,5.0 , 0.04537859112744373,0.0160607912619328,0,0.0008682011565338287,0,0,0,0.015282754759258851,0,0,0,0.012498358165944988,0,0.004107109692882939,0,0.013222157948636057,0,0.002150608769641949,0.002150608769641949,0.0008548265461813553,0
Times Square Dream Hostel,3.0 , 0.02384970765759471,0,0,0,0,0.007009492514494238,0,0,0,0,0,0,0,0.016005821746723974,0,0,0.0008343933963764953,0,0,0,0
Toronto Don Valley Hotel & Suites,3.5 , 0.08732740335434507,0.0031722302674136718,0,0.0003370138951487913,0.004117541237489138,0.003503176122936349,0.000378810712777987,0.028421285304297293,0,0,0.004790590335835426,0.010071252223615327,0,0.01800064719498496,0.003552972793095726,0.015541068047061282,0,0.006219488521316982,0.00029517215477824297,0,0.005408707793634936
Waterfront Resort Hotel,4.5 , 0.0954062130989361,0.007442286482945114,0,0,0.0031547275823468803,0.00029979362967275704,0.005113314485716412,0.04027961378510335,0,0,0.012803810546098346,0.011282490029077543,0,0.00834276212647947,0.0028549018804435783,0.013905488744992055,0,0,0.0015572863554594112,0,0.005824474036642882
Windemere Hotel and Conference Center,2.0 , 0.03734099414825067,0.0028228282957648144,0,0,0,0,0,0.00711038045376608,0,0.0004969142598533402,0.00108418462820661,0.007437424335727216,0,0.011696145107148179,0.00421065589930163,0.009136796925311224,0,0.0026160467112367144,0,0,0.005574266273705144
Windsor Hotel,2.5 , 0.047341905877954775,0.005288171778670502,0,0,0,0,0,0.016138416365094797,0.00010125794105334488,0,0,0.010326383058856302,0,0.018490773534771205,0,0.011780760909246003,0,0,0,0,0
World Hotel,1.5 , 0.029527688704987946,0,0,0,0,0,0,0.010526463356716158,0,0,0,0.006107619896385758,0,0.01540768628660755,0,0.008170534969924089,1.3491184558679576e-05,0.0015171328035672288,0,0,0
WorldMark Las Vegas - Tropicana Avenue,3.5 , 0.037115741977444515,0.003542281864429242,0,0.0069339967530788575,0.004550532837163936,0,0,0.0026248495421479986,0,0,0.0032145396067115722,0.004104773008363411,0,0.007669967354654643,0.00141221342447812,0.00141221342447812,0,0,0,0,0.00568743712856473
Wulfrun Hotel,1.5 , 0.021615628765281395,0.0017048021167850528,0,0,0,0,0,0.006637985950673596,0,0,0,0.00511757301026305,0,0.006665398687852946,0,0.0014898689997067504,0,0,0,0,0
Wyndham Desert Blue,4.5 , 0.060165751706729755,0.006025163757825491,0,0.01031933684027053,0,0.0030076594168625833,0.0021741087371111713,0.011236705252224543,0,0,0.00551604205061692,0.00894462215872312,0,0.009866827408672132,0,0.0065773204111118306,0,0,0,0,0.012946212419935028
Yellowstone Country Inn,2.0 , 0.0010933758781843759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010933758781843759,0
YourStay MidTown Apartments,3.0 , 0.0055409106013837835,0.004325583675252736,0,0,0.0001510937803368605,0,0,0,0,0,0,0,0,0.0010642331457941874,0,0,0,0,0.0007367927840311406,0,0
